on_time_delivery,delivery_priority,delivery_type,warehouse_type,customer_calls,customer_review,product_cost,prior_purchases,gender,discount_offered,weight_lbs
1,low,Ship,C,5,1,227,2,M,15,8.37
1,medium,Ship,F,5,5,139,4,M,61,2.79
1,medium,Ship,D,3,5,137,2,M,38,3.63
1,low,Ship,F,3,1,174,2,M,44,3.43
1,low,Ship,A,3,1,151,2,M,29,2.93
1,low,Ship,B,5,1,210,3,F,9,6.49
1,medium,Ship,C,3,4,169,4,F,32,2.74
1,low,Ship,F,5,1,160,2,M,32,3.47
1,medium,Ship,D,5,4,190,2,M,9,8.27
1,low,Ship,F,5,3,216,3,F,40,4.73
1,low,Ship,A,4,1,183,3,M,37,4.5
1,low,Ship,B,4,4,141,3,M,22,3.83
1,low,Ship,C,4,3,165,3,F,44,2.91
1,low,Ship,F,2,1,170,3,M,41,2.49
1,high,Ship,D,4,3,203,3,M,12,7.8
1,low,Ship,F,2,5,246,5,M,46,5.37
1,low,Ship,A,3,3,238,3,F,61,6.83
1,medium,Ship,B,3,3,193,3,F,29,7.61
1,high,Ship,C,5,5,141,3,M,41,3.01
1,high,Ship,F,4,1,150,3,F,17,4.24
1,low,Ship,D,3,1,221,3,F,64,6.16
1,medium,Ship,F,3,3,179,3,M,52,2.55
1,medium,Ship,A,5,1,105,6,M,62,2.85
1,medium,Ship,B,3,1,177,3,M,61,4.14
1,high,Ship,C,4,5,261,2,M,49,6.71
1,low,Ship,F,3,2,202,3,M,49,6.35
1,medium,Ship,D,3,2,109,3,F,15,3.77
1,low,Ship,F,3,3,158,3,F,6,4.14
1,medium,Ship,A,4,2,231,4,F,6,5.54
1,medium,Ship,B,3,5,206,3,M,39,6.46
1,high,Ship,C,5,1,187,4,M,14,8.49
1,low,Ship,F,5,5,230,2,F,2,4.91
1,medium,Ship,D,5,5,232,3,F,33,6.61
1,medium,Ship,F,4,5,215,3,F,21,8.78
1,low,Ship,A,6,1,238,6,F,13,5.38
1,low,Ship,B,4,1,266,3,F,23,8.32
1,medium,Ship,C,2,3,158,2,F,36,3.94
1,low,Ship,F,3,3,113,3,F,43,3.35
1,low,Ship,D,3,4,223,3,M,18,8.73
1,medium,Ship,F,3,5,257,2,F,56,8.18
1,medium,Ship,A,3,4,180,2,F,49,4.28
1,low,Ship,B,2,5,132,3,M,18,3.88
1,high,Ship,C,4,4,217,3,F,26,6.34
1,high,Ship,F,5,5,162,3,F,31,3.01
1,medium,Ship,D,4,5,197,2,F,40,5.97
1,medium,Ship,F,3,4,197,3,M,13,4.74
1,low,Ship,A,4,1,185,2,M,44,6.42
1,medium,Ship,B,6,2,278,3,F,3,6.56
1,low,Ship,C,3,3,229,3,M,49,5.16
1,medium,Ship,F,4,1,186,4,F,57,8.55
1,high,Ship,D,5,3,174,6,F,41,2.39
1,low,Ship,F,5,5,286,3,F,18,6.97
1,medium,Ship,A,4,4,175,2,F,7,2.62
1,medium,Ship,B,3,3,219,3,F,17,7.47
1,high,Ship,C,4,1,213,4,F,35,5.17
1,low,Ship,F,2,3,235,3,M,57,4.48
1,medium,Ship,D,3,3,149,2,M,18,2.7
1,medium,Ship,F,4,1,271,2,F,8,5.29
1,medium,Ship,A,3,5,144,4,M,5,2.43
1,medium,Ship,B,4,2,145,2,M,21,3.56
1,medium,Ship,C,5,3,143,2,M,59,4.05
1,low,Ship,F,5,5,227,4,M,53,5.78
1,low,Ship,D,2,1,213,3,M,29,6.02
1,low,Ship,F,5,1,144,4,M,37,3.66
1,low,Ship,A,3,3,218,3,M,3,4.97
1,medium,Ship,B,4,2,144,3,M,59,3.5
1,low,Ship,C,3,1,238,3,M,17,5.78
1,high,Ship,F,4,5,216,3,M,26,4.53
1,high,Ship,D,4,5,238,3,F,55,7.18
1,medium,Ship,F,4,1,141,3,M,47,2.76
1,low,Road,A,3,1,158,2,M,2,2.83
1,low,Road,B,4,2,239,3,F,65,8.11
1,low,Road,C,4,3,175,2,M,25,4
1,low,Road,F,3,2,263,3,M,41,6.21
1,high,Road,D,3,5,168,2,M,50,3.56
1,high,Road,F,3,4,176,3,M,36,3.92
1,high,Road,A,4,1,150,4,M,60,2.26
1,medium,Road,B,4,3,265,2,F,31,5.13
1,low,Road,C,2,5,263,3,F,5,6.5
1,low,Road,F,5,1,145,3,M,20,3.06
1,low,Road,D,4,2,183,3,F,33,6.04
1,medium,Road,F,3,3,205,3,F,19,4.78
1,low,Road,A,4,2,160,3,M,64,3.78
1,medium,Road,B,3,3,252,2,F,48,4.63
1,low,Road,C,5,5,222,3,M,10,5.03
1,low,Road,F,3,3,203,2,M,25,7.95
1,medium,Road,D,4,5,220,3,M,40,7.75
1,low,Road,F,3,3,147,4,F,60,3.8
1,medium,Road,A,4,4,200,4,M,16,4.54
1,medium,Road,B,4,5,224,4,M,21,4.47
1,low,Road,C,3,5,179,2,F,17,3.01
1,low,Road,F,3,4,144,3,M,50,4.11
1,low,Flight,D,5,2,247,3,M,17,8.57
1,medium,Flight,F,5,4,280,6,F,51,7.9
1,medium,Flight,A,3,3,168,2,F,1,4.03
1,medium,Flight,B,3,5,157,3,F,4,4.16
1,medium,Flight,C,3,3,189,4,F,51,4.87
1,medium,Flight,F,3,5,162,2,M,7,3.83
1,low,Flight,D,4,1,207,5,M,48,5.29
1,low,Flight,F,5,1,237,2,F,10,8.51
1,high,Flight,A,4,4,264,3,M,59,4.45
1,low,Flight,B,5,4,149,3,M,51,3.63
1,low,Flight,C,5,5,162,3,M,41,3.22
1,medium,Flight,F,2,1,205,4,F,63,4.75
1,medium,Flight,D,2,1,158,3,F,51,3.4
1,low,Flight,F,2,2,248,2,M,46,8.17
1,low,Flight,A,3,5,191,3,M,23,8.27
1,medium,Flight,B,4,3,146,4,F,24,4.07
1,low,Flight,C,3,3,135,3,M,56,3.28
1,low,Flight,F,5,1,149,3,M,40,2.34
1,medium,Flight,D,4,4,220,2,F,7,5.62
1,medium,Flight,F,5,3,98,5,M,44,2.8
1,low,Flight,A,3,4,97,4,M,32,2.73
1,low,Flight,B,3,3,183,2,M,53,8.67
1,medium,Ship,C,3,3,162,3,F,8,4.12
1,low,Ship,F,5,1,114,4,F,47,3.18
1,low,Ship,D,6,3,275,5,M,41,5.49
1,medium,Ship,F,3,2,203,2,F,39,8.48
1,high,Ship,A,5,5,205,2,M,65,8.09
1,low,Ship,B,3,3,149,3,F,63,4.29
1,medium,Ship,C,2,2,112,4,M,56,2.51
1,medium,Ship,F,3,1,207,3,F,56,7.68
1,low,Ship,D,4,1,261,4,F,58,7.56
1,medium,Ship,F,5,2,274,3,M,6,7.44
1,low,Ship,A,3,5,141,2,M,52,3.73
1,medium,Ship,B,3,3,166,4,F,17,3.3
1,high,Ship,C,5,2,141,3,F,34,2.25
1,low,Ship,F,4,5,152,3,M,43,3.77
1,low,Ship,D,4,2,250,3,F,53,5.46
1,medium,Ship,F,4,3,161,3,F,28,3.99
1,medium,Ship,A,4,3,185,3,F,10,4.99
1,high,Ship,B,4,4,176,4,F,52,2.42
1,low,Ship,C,3,4,148,3,M,56,3.42
1,low,Ship,F,3,2,270,3,F,63,6.06
1,low,Ship,D,3,3,242,3,F,51,8.68
1,medium,Ship,F,4,4,150,2,M,3,2.83
1,high,Ship,A,4,5,192,3,M,20,8.54
1,medium,Ship,B,4,5,116,3,M,54,2.9
1,medium,Ship,C,3,3,192,3,F,2,8.81
1,medium,Ship,F,5,5,255,4,M,3,7.58
1,medium,Ship,D,4,1,161,7,F,18,2.85
1,low,Ship,F,4,5,157,3,M,20,3.28
1,high,Ship,A,3,2,164,10,F,28,4.28
1,medium,Ship,B,3,5,162,7,F,16,2.32
1,low,Ship,C,3,3,146,2,M,50,3.28
1,medium,Ship,F,3,2,209,3,M,54,6.62
1,medium,Ship,D,5,4,134,2,F,55,3.06
1,medium,Ship,F,2,1,222,2,M,5,8.33
1,low,Ship,A,2,5,139,3,F,27,2.72
1,low,Ship,B,2,4,134,3,F,42,3.12
1,low,Ship,C,2,5,130,3,M,16,2.41
1,low,Ship,F,2,5,133,3,F,62,3.52
1,low,Ship,D,2,4,140,3,F,7,3.11
1,low,Ship,F,2,2,158,3,M,28,4.34
1,low,Ship,A,4,2,270,4,F,46,3.83
1,low,Ship,B,2,5,140,3,F,30,2.27
1,low,Ship,C,2,2,135,3,M,15,2.95
1,low,Ship,F,2,3,136,3,F,19,3.46
1,medium,Ship,D,2,3,142,3,F,38,16.84
1,medium,Ship,F,2,2,154,3,M,38,17.3
1,low,Ship,A,2,3,139,3,M,9,3.24
1,low,Ship,B,2,3,160,3,F,43,2.76
1,low,Ship,C,2,4,134,3,M,58,2.35
1,high,Ship,F,5,3,161,5,M,48,4.15
1,low,Ship,D,2,5,155,3,M,23,3.53
1,medium,Ship,F,2,3,145,3,F,24,16.73
1,low,Ship,A,2,2,157,3,M,1,3.26
1,low,Ship,B,2,2,160,3,M,48,3.73
1,low,Ship,C,2,4,152,3,M,55,3.3
1,high,Ship,F,2,5,148,3,F,11,3.31
1,low,Ship,D,2,1,127,3,F,15,3.36
1,low,Ship,F,2,5,154,3,F,21,2.45
1,low,Ship,A,2,5,127,3,M,44,2.96
1,medium,Ship,B,2,5,160,3,F,31,16.32
1,low,Ship,C,2,4,129,3,F,48,2.69
1,low,Ship,F,2,5,158,3,F,40,3.8
1,medium,Ship,D,4,3,185,3,M,3,6.9
1,high,Ship,F,4,4,176,4,F,63,2.85
1,low,Ship,A,3,4,148,3,M,37,3.36
1,low,Ship,B,3,5,270,3,M,60,8.56
1,low,Ship,C,3,4,242,3,M,29,5.25
1,medium,Ship,F,4,3,150,2,M,31,3.5
1,high,Ship,D,4,2,192,3,M,4,4.54
1,medium,Ship,F,4,5,116,3,F,9,2.9
1,medium,Ship,A,3,4,192,3,F,31,7.34
1,medium,Ship,B,5,4,255,4,F,38,6.11
1,medium,Ship,C,4,3,161,7,M,63,3.3
1,low,Ship,F,4,2,157,3,F,48,3.07
1,high,Ship,D,3,2,164,10,M,14,3.03
1,medium,Ship,F,3,3,162,7,F,42,2.82
1,low,Ship,A,3,1,146,2,F,54,3.37
1,medium,Ship,B,3,4,209,3,F,60,4.94
1,medium,Ship,C,5,5,134,2,M,53,2.4
1,medium,Ship,F,2,1,222,2,M,58,7.99
1,low,Ship,D,2,1,139,3,F,39,3.49
1,low,Ship,F,2,2,134,3,M,38,2.98
1,low,Ship,A,2,3,130,3,F,48,3.97
1,low,Ship,B,2,2,133,3,M,5,2.8
1,low,Ship,C,2,3,140,3,F,23,3.02
1,low,Ship,F,2,3,158,3,M,10,3.34
1,low,Ship,D,4,5,270,4,M,65,4.01
1,low,Ship,F,2,4,140,3,F,33,2.82
1,low,Ship,A,2,2,135,3,M,58,3.82
1,low,Ship,B,2,4,136,3,M,43,4.32
1,medium,Ship,C,2,1,142,3,F,8,13.37
1,medium,Ship,F,2,4,154,3,F,48,16.94
1,low,Ship,D,2,3,139,3,F,3,3.94
1,low,Road,F,2,4,160,3,F,50,2.27
1,low,Road,A,2,2,134,3,F,38,3.37
1,high,Road,B,5,5,161,5,F,54,3.33
1,low,Road,C,2,3,155,3,F,45,3.61
1,medium,Road,F,2,2,145,3,F,5,13.45
1,low,Road,D,2,1,157,3,M,58,4.25
1,low,Road,F,2,5,160,3,F,19,3.08
1,low,Road,A,2,2,152,3,F,61,3.97
1,high,Road,B,2,2,148,3,F,35,2.97
1,low,Road,C,2,2,127,3,M,13,2.49
1,medium,Road,F,2,2,129,3,F,22,14.58
1,low,Road,D,2,3,158,3,F,13,2.74
1,low,Road,F,2,4,147,3,M,5,4.23
1,low,Road,A,2,5,159,3,F,49,3.57
1,low,Road,B,2,3,151,3,F,23,4.25
1,low,Road,C,3,1,294,4,F,52,2.4
1,medium,Road,F,3,2,226,2,M,45,3.19
1,high,Road,D,5,3,271,5,M,9,4
1,medium,Road,F,7,2,203,5,F,61,4.09
1,low,Road,A,2,3,264,4,F,10,3.63
1,medium,Road,B,4,1,258,3,M,36,4.87
1,low,Road,C,3,5,241,3,F,21,6.79
1,medium,Flight,F,4,5,208,3,M,23,4.53
1,medium,Flight,D,3,2,209,5,F,12,6.73
1,medium,Flight,F,5,1,182,2,F,23,5.97
1,medium,Flight,A,4,5,148,2,F,43,2.4
1,medium,Flight,B,2,3,183,2,F,52,7.05
1,medium,Flight,C,3,5,229,6,M,22,5.99
1,low,Flight,F,5,5,115,5,F,26,3.73
1,low,Flight,D,4,2,136,3,F,65,4.33
1,low,Flight,F,4,4,212,3,M,21,7.29
1,low,Flight,A,4,3,171,3,F,24,2.87
1,low,Flight,B,3,1,151,2,M,60,4.24
1,medium,Flight,C,3,1,205,3,M,39,6.75
1,medium,Flight,F,5,4,147,3,M,23,2.5
1,low,Flight,D,3,3,155,3,F,29,3.77
1,low,Flight,F,5,4,165,3,F,20,2.54
1,low,Flight,A,5,5,230,3,F,32,7.16
1,medium,Flight,B,2,4,181,4,M,13,5.09
1,low,Flight,C,5,3,234,2,F,55,7.29
1,low,Flight,F,4,4,149,3,M,34,4.36
1,low,Flight,D,5,5,156,2,M,44,3.44
1,medium,Flight,F,4,2,172,3,F,59,4.1
1,low,Flight,A,4,4,270,3,M,12,7.23
1,medium,Ship,B,4,1,206,3,M,23,8.39
1,medium,Ship,C,4,3,211,4,M,40,6.85
1,low,Ship,F,3,2,136,4,M,62,2.4
1,high,Ship,D,5,1,186,2,F,52,8.78
1,medium,Ship,F,3,1,202,2,M,62,7.49
1,medium,Ship,A,4,2,183,3,F,12,8.04
1,low,Ship,B,4,4,232,2,M,36,6.31
1,medium,Ship,C,4,2,147,4,M,52,2.49
1,medium,Ship,F,4,3,136,3,M,20,3.38
1,low,Ship,D,5,3,127,3,F,43,3.19
1,medium,Ship,F,4,5,202,2,M,35,8.15
1,low,Ship,A,3,4,241,2,M,57,8.09
1,medium,Ship,B,4,3,222,2,M,55,8.45
1,medium,Ship,C,3,2,183,4,F,12,6.12
1,medium,Ship,F,4,4,249,3,F,36,8.31
1,high,Ship,D,3,1,243,4,M,59,8.46
1,medium,Ship,F,3,3,163,3,M,9,2.77
1,high,Ship,A,4,2,165,2,M,11,3.52
1,medium,Ship,B,5,5,266,3,F,53,6.81
1,medium,Ship,C,3,4,193,2,M,48,8.62
1,low,Ship,F,3,2,154,3,F,56,2.5
1,medium,Ship,D,3,3,140,3,M,51,2.31
1,medium,Ship,F,4,3,272,3,M,38,8.17
1,medium,Ship,A,4,2,143,6,M,20,3.65
1,low,Ship,B,4,2,138,3,F,30,3.98
1,high,Ship,C,4,2,238,2,M,17,7.4
1,medium,Ship,F,4,5,273,4,F,31,5.23
1,medium,Ship,D,3,1,200,2,M,27,5.62
1,low,Ship,F,4,5,213,4,M,39,5.25
1,medium,Ship,A,3,4,224,2,F,15,5.95
1,medium,Ship,B,4,5,141,3,M,12,3.69
1,low,Ship,C,3,3,150,3,M,46,2.29
1,low,Ship,F,3,1,192,2,M,33,6.21
1,medium,Ship,D,5,1,279,4,F,24,7.58
1,medium,Ship,F,3,4,246,3,M,30,8.26
1,medium,Ship,A,3,4,173,3,M,52,3.5
1,medium,Ship,B,4,4,233,4,F,59,5.2
1,medium,Ship,C,5,1,274,2,M,24,5.34
1,medium,Ship,F,4,5,243,4,F,41,6.13
1,medium,Ship,D,3,4,197,3,F,56,7.56
1,high,Ship,F,4,3,140,3,F,46,2.36
1,medium,Ship,A,3,5,215,3,F,22,5.7
1,medium,Ship,B,3,4,211,3,M,8,8.18
1,low,Ship,C,4,2,220,5,M,33,6.29
1,low,Ship,F,3,1,194,4,M,64,4.47
1,medium,Ship,D,5,1,262,3,F,58,7.93
1,low,Ship,F,4,4,201,2,F,1,6.94
1,medium,Ship,A,3,5,261,3,M,15,6.59
1,low,Ship,B,4,4,191,6,F,60,7.55
1,medium,Ship,C,2,5,255,5,F,53,8.32
1,high,Ship,F,3,2,169,2,M,30,3.74
1,medium,Ship,D,4,5,162,2,M,64,4.23
1,low,Ship,F,2,5,248,6,F,62,6.06
1,low,Ship,A,5,3,197,4,F,2,4.9
1,low,Ship,B,5,1,264,3,M,6,6.35
1,medium,Ship,C,5,5,260,2,F,55,6.15
1,medium,Ship,F,5,3,186,2,F,58,4.98
1,low,Ship,D,4,5,233,4,F,44,5.62
1,low,Ship,F,5,1,161,3,M,47,4.31
1,low,Ship,A,4,5,188,3,F,13,5.31
1,medium,Ship,B,5,5,171,2,F,22,3.74
1,medium,Ship,C,2,2,267,3,M,15,5.47
1,high,Ship,F,4,3,255,2,M,47,6.52
1,low,Ship,D,3,2,132,3,F,56,2.87
1,low,Ship,F,5,1,266,3,F,31,6.96
1,low,Ship,A,3,4,198,2,M,25,6.12
1,medium,Ship,B,2,3,247,2,F,62,6.89
1,medium,Ship,C,3,1,140,3,F,65,2.85
1,low,Ship,F,4,3,131,5,M,6,3.66
1,medium,Ship,D,5,2,246,3,M,49,7.13
1,medium,Ship,F,3,2,159,3,F,4,3.71
1,medium,Ship,A,3,5,203,2,M,61,8.03
1,high,Ship,B,4,3,187,4,F,29,6.92
1,low,Ship,C,6,2,146,3,F,62,4.27
1,medium,Ship,F,3,2,234,3,M,39,4.63
1,high,Ship,D,3,4,122,3,F,15,2.99
1,low,Ship,F,3,3,135,3,M,8,2.37
1,low,Ship,A,3,5,103,3,M,3,3.09
1,medium,Ship,B,3,5,257,3,F,19,4.79
1,low,Ship,C,4,3,169,2,M,2,3.08
1,medium,Ship,F,4,5,159,3,M,18,3.99
1,low,Ship,D,4,5,188,3,M,38,6.68
1,medium,Ship,F,5,1,136,3,M,19,3.13
1,low,Ship,A,5,1,227,3,F,19,6.63
1,low,Ship,B,3,5,262,2,F,53,7.22
1,low,Ship,C,2,3,157,2,M,45,4.33
1,medium,Ship,F,5,3,238,2,F,21,4.53
1,low,Ship,D,3,5,152,3,M,43,2.83
1,medium,Ship,F,3,2,201,3,M,5,4.5
1,low,Ship,A,3,4,148,2,M,54,3.92
1,low,Ship,B,5,2,199,4,F,59,6.36
1,low,Ship,C,5,4,215,2,F,45,7.72
1,low,Ship,F,4,5,175,2,M,40,2.8
1,high,Road,D,4,3,236,2,M,23,6.89
1,medium,Road,F,2,5,182,2,F,57,6.38
1,medium,Road,A,3,1,251,3,M,42,8.15
1,low,Road,B,5,2,173,3,F,7,4.09
1,low,Road,C,4,3,225,3,F,62,5.7
1,low,Road,F,4,2,167,4,F,20,3.76
1,low,Road,D,4,1,259,3,M,20,4.75
1,medium,Road,F,4,1,178,3,F,63,3.47
1,medium,Road,A,4,4,178,4,F,13,3.56
1,low,Road,B,5,4,169,2,F,20,3.89
1,low,Road,C,3,2,272,2,M,33,5.12
1,low,Road,F,4,4,183,3,M,29,7.17
1,low,Road,D,3,4,205,3,F,10,6.01
1,low,Road,F,2,1,123,4,F,53,2.28
1,low,Road,A,4,3,152,3,M,58,3.2
1,high,Road,B,3,1,220,2,F,40,8.32
1,low,Road,C,4,3,134,3,M,51,4.33
1,high,Road,F,3,2,217,2,M,19,6.6
1,low,Road,D,3,2,265,3,F,49,6.15
1,medium,Road,F,4,2,249,5,M,36,8.46
1,medium,Road,A,5,3,213,4,F,50,4.42
1,low,Road,B,2,2,124,3,F,56,3.29
1,low,Flight,C,4,1,180,2,M,23,2.63
1,medium,Flight,F,4,5,193,3,M,65,5
1,medium,Flight,D,3,2,192,3,M,43,7.36
1,medium,Flight,F,2,5,166,3,M,3,4.04
1,medium,Flight,A,3,2,264,3,M,5,8.51
1,medium,Flight,B,3,4,200,2,M,14,7.78
1,medium,Flight,C,4,3,142,4,M,12,3.08
1,low,Flight,F,4,1,215,2,M,32,6.76
1,low,Flight,D,2,1,218,2,M,15,6.05
1,low,Flight,F,3,2,115,3,F,27,4
1,low,Flight,A,4,3,159,3,M,33,2.93
1,low,Flight,B,5,5,133,3,M,63,2.69
1,low,Flight,C,5,2,178,3,M,48,3.34
1,low,Flight,F,4,2,134,2,F,43,3.78
1,medium,Flight,D,3,1,184,5,F,58,5.61
1,medium,Flight,F,4,2,251,2,M,24,5.3
1,low,Flight,A,3,2,141,3,M,7,4.26
1,medium,Flight,B,4,4,229,2,M,45,8.32
1,low,Flight,C,4,1,203,4,M,34,8.41
1,medium,Flight,F,4,3,158,3,F,57,4.21
1,medium,Flight,D,3,4,167,3,M,52,3.87
1,low,Flight,F,5,4,197,4,F,40,7.28
1,low,Ship,A,2,2,140,3,F,19,3.98
1,medium,Ship,B,5,1,205,2,M,27,7.87
1,low,Ship,C,5,5,208,3,F,45,4.45
1,low,Ship,F,4,2,96,3,M,22,2.85
1,low,Ship,D,6,4,205,3,F,44,4.55
1,medium,Ship,F,4,2,215,3,F,48,6.51
1,low,Ship,A,4,1,216,3,F,43,5.83
1,high,Ship,B,3,1,112,2,M,22,4.07
1,low,Ship,C,5,4,222,3,F,20,8.01
1,medium,Ship,F,5,2,186,3,F,15,4.75
1,medium,Ship,D,3,5,241,3,M,48,6.26
1,low,Ship,F,3,3,172,3,F,58,2.8
1,high,Ship,A,3,5,251,2,M,23,5.35
1,high,Ship,B,5,3,190,3,M,45,5.79
1,medium,Ship,C,4,3,186,2,F,48,6.18
1,medium,Ship,F,4,4,207,2,M,35,5.72
1,low,Ship,D,3,3,135,3,F,19,3.01
1,medium,Ship,F,4,4,189,2,F,18,6.51
1,medium,Ship,A,4,4,173,5,F,51,3.73
1,medium,Ship,B,3,4,194,3,M,3,4.78
1,low,Ship,C,3,1,183,3,M,19,6.65
1,low,Ship,F,4,3,140,2,F,22,2.75
1,medium,Ship,D,4,4,244,3,F,55,6.13
1,low,Ship,F,2,3,189,4,M,34,7.4
1,medium,Ship,A,3,2,157,2,M,53,3.06
1,medium,Ship,B,4,1,275,10,F,23,6.01
1,low,Ship,C,4,5,133,3,F,53,3.23
1,medium,Ship,F,4,1,149,3,M,54,2.6
1,high,Ship,D,3,3,254,2,M,17,6.95
1,low,Ship,F,3,4,145,8,F,15,3.15
1,low,Ship,A,3,2,179,5,F,52,4.39
1,low,Ship,B,5,2,168,3,M,26,3.36
1,medium,Ship,C,4,1,202,3,F,18,8.69
1,low,Ship,F,3,4,220,7,M,43,5.78
1,low,Ship,D,3,4,244,8,M,1,5.96
1,medium,Ship,F,4,2,186,7,F,40,6.86
1,medium,Ship,A,5,2,263,8,M,24,6.92
1,low,Ship,B,3,2,294,4,F,15,2.91
1,medium,Ship,C,3,5,226,2,F,2,2.3
1,medium,Ship,F,4,4,173,5,F,2,2.59
1,medium,Ship,D,3,5,194,3,F,10,5.02
1,low,Ship,F,3,5,183,3,F,2,7.63
1,low,Ship,A,4,1,140,2,M,61,3.9
1,medium,Ship,B,4,3,244,3,M,8,7.31
1,low,Ship,C,2,2,189,4,M,9,7.52
1,medium,Ship,F,3,1,157,2,F,39,3.36
1,medium,Ship,D,4,3,275,10,M,10,4.61
1,low,Ship,F,4,5,133,3,M,59,2.41
1,medium,Ship,A,4,2,149,3,M,26,4.11
1,high,Ship,B,3,4,254,2,F,41,8.76
1,low,Ship,C,3,4,145,8,F,24,3.51
1,low,Ship,F,3,5,179,5,M,56,2.45
1,low,Ship,D,5,4,168,3,F,13,2.9
1,medium,Ship,F,4,5,202,3,F,46,7.01
1,low,Ship,A,3,3,220,7,M,25,4.72
1,low,Ship,B,3,2,244,8,F,50,7.85
1,medium,Ship,C,4,3,186,7,F,30,4.55
1,medium,Ship,F,5,5,263,8,F,9,4.93
1,low,Ship,D,3,1,294,4,F,25,3.3
1,low,Ship,F,4,1,139,3,F,56,3.99
1,low,Ship,A,7,5,192,3,M,46,3.42
1,low,Ship,B,3,3,235,3,M,5,6.76
1,low,Ship,C,2,1,176,3,F,15,4.4
1,low,Ship,F,5,4,224,3,F,34,5.79
1,medium,Ship,D,3,4,128,3,F,51,3.36
1,low,Ship,F,5,4,226,5,M,47,4.94
1,medium,Ship,A,5,1,160,5,F,16,3.36
1,low,Ship,B,3,1,197,5,M,45,4.9
1,low,Ship,C,4,2,216,3,F,12,5.01
1,low,Ship,F,4,4,199,2,M,9,6.78
1,low,Ship,D,5,5,271,2,M,27,8.72
1,low,Ship,F,5,1,201,3,F,47,5.86
1,low,Ship,A,3,4,212,2,M,33,4.46
1,low,Ship,B,3,2,177,3,M,10,3.62
1,medium,Ship,C,3,4,191,4,F,43,6.4
1,low,Ship,F,3,2,174,3,M,30,4.38
1,low,Ship,D,5,3,162,2,F,14,2.3
1,low,Ship,F,3,1,219,2,F,39,5.94
1,medium,Ship,A,4,4,155,3,F,35,3.13
1,medium,Ship,B,5,3,230,3,F,3,6.44
1,medium,Ship,C,4,5,192,2,F,36,5.5
1,low,Ship,F,5,2,235,3,M,14,6.58
1,low,Ship,D,3,2,200,3,M,46,8.03
1,medium,Ship,F,5,2,172,3,M,65,3.68
1,low,Ship,A,5,4,160,4,F,6,3.53
1,low,Ship,B,5,3,250,5,M,12,6
1,low,Ship,C,4,2,174,3,M,9,3.71
1,high,Ship,F,3,2,204,3,F,54,7.95
1,medium,Ship,D,3,5,274,3,F,51,7.66
1,medium,Ship,F,5,5,262,2,F,62,8.25
1,medium,Ship,A,4,5,138,3,M,23,3.94
1,medium,Ship,B,3,1,215,3,F,2,8.54
1,low,Ship,C,3,1,145,2,F,34,3.91
1,medium,Road,F,4,5,149,2,M,56,2.52
1,medium,Road,D,6,5,212,2,M,38,5.2
1,medium,Road,F,3,1,155,3,F,47,2.63
1,low,Road,A,5,2,154,3,M,40,2.73
1,medium,Road,B,3,3,249,3,M,51,4.79
1,low,Road,C,5,1,206,2,M,2,7.69
1,medium,Road,F,4,5,235,3,F,22,4.44
